iter	Passed	Remaining
0	319	319327
1	320	160068
2	322	107316
3	324	80741
4	328	65443
5	332	55085
6	334	47488
7	336	41681
8	337	37149
9	339	33589
10	349	31453
11	351	28916
12	352	26778
13	366	25790
14	370	24309
15	376	23180
16	378	21915
17	380	20755
18	381	19712
19	385	18879
20	388	18119
21	393	17483
22	394	16761
23	417	16982
24	424	16559
25	427	16008
26	428	15446
27	435	15113
28	436	14626
29	438	14188
30	452	14158
31	462	13981
32	467	13707
33	469	13340
34	471	12989
35	472	12651
36	475	12381
37	484	12262
38	495	12205
39	497	11931
40	499	11684
41	501	11430
42	504	11218
43	507	11029
44	508	10800
45	511	10605
46	517	10502
47	522	10353
48	523	10157
49	524	9969
50	525	9786
51	527	9610
52	529	9454
53	531	9312
54	533	9163
55	534	9013
56	537	8887
57	538	8745
58	542	8651
59	552	8653
60	553	8524
61	557	8439
62	560	8331
63	564	8254
64	566	8153
65	568	8039
66	570	7942
67	574	7872
68	579	7819
69	580	7718
70	582	7619
71	583	7524
72	585	7430
73	588	7366
74	591	7291
75	599	7290
76	601	7205
77	605	7153
78	608	7094
79	611	7027
80	612	6949
81	613	6871
82	614	6790
83	615	6717
84	619	6665
85	621	6605
86	623	6543
87	624	6475
88	627	6422
89	628	6358
90	632	6316
91	636	6278
92	637	6220
93	639	6168
94	641	6111
95	642	6053
96	646	6019
97	652	6003
98	654	5954
99	656	5907
100	657	5855
101	661	5820
102	663	5776
103	669	5769
104	671	5725
105	673	5676
106	677	5651
107	679	5610
108	683	5584
109	684	5537
110	686	5499
111	688	5456
112	689	5411
113	694	5394
114	698	5372
115	699	5330
116	700	5285
117	702	5247
118	703	5205
119	704	5163
120	707	5142
121	709	5109
122	713	5089
123	715	5053
124	717	5020
125	718	4984
126	719	4947
127	725	4940
128	727	4910
129	730	4889
130	731	4853
131	732	4817
132	734	4785
133	735	4750
134	736	4722
135	738	4688
136	739	4655
137	740	4622
138	743	4603
139	746	4582
140	747	4551
141	747	4519
142	749	4491
143	750	4459
144	753	4440
145	754	4413
146	756	4390
147	758	4369
148	760	4340
149	761	4314
150	762	4288
151	763	4261
152	764	4234
153	765	4206
154	768	4188
155	769	4164
156	771	4142
157	772	4118
158	773	4093
159	775	4070
160	775	4043
161	776	4017
162	777	3991
163	778	3966
164	778	3941
165	782	3929
166	783	3908
167	785	3889
168	788	3875
169	789	3853
170	790	3830
171	792	3813
172	792	3790
173	793	3768
174	797	3758
175	799	3741
176	802	3730
177	803	3711
178	804	3690
179	805	3670
180	806	3651
181	807	3630
182	808	3609
183	809	3591
184	811	3575
185	813	3560
186	815	3545
187	817	3529
188	818	3511
189	819	3492
190	820	3473
191	821	3455
192	822	3437
193	825	3428
194	827	3415
195	831	3409
196	832	3392
197	833	3377
198	835	3361
199	836	3344
200	836	3326
201	839	3317
202	841	3302
203	843	3292
204	846	3283
205	848	3269
206	849	3254
207	850	3238
208	851	3221
209	851	3205
210	855	3199
211	856	3185
212	859	3177
213	861	3164
214	862	3149
215	863	3135
216	864	3120
217	865	3105
218	866	3090
219	867	3075
220	871	3071
221	874	3065
222	875	3051
223	876	3038
224	877	3023
225	878	3009
226	880	2996
227	881	2985
228	888	2992
229	889	2978
230	890	2964
231	891	2952
232	893	2939
233	893	2925
234	894	2912
235	895	2898
236	896	2885
237	896	2871
238	900	2867
239	903	2862
240	905	2851
241	906	2839
242	907	2826
243	908	2814
244	909	2802
245	910	2791
246	913	2784
247	915	2774
248	918	2770
249	919	2759
250	920	2747
251	922	2737
252	923	2726
253	924	2715
254	925	2703
255	928	2697
256	929	2686
257	931	2677
258	932	2667
259	934	2659
260	935	2649
261	936	2638
262	937	2627
263	938	2617
264	939	2606
265	940	2595
266	944	2592
267	945	2583
268	947	2574
269	949	2566
270	951	2558
271	952	2548
272	954	2540
273	955	2531
274	957	2525
275	959	2517
276	963	2514
277	964	2505
278	965	2496
279	968	2489
280	969	2479
281	969	2469
282	971	2460
283	973	2455
284	975	2448
285	979	2444
286	980	2436
287	982	2427
288	983	2418
289	983	2409
290	985	2400
291	987	2395
292	989	2387
293	991	2381
294	994	2376
295	996	2369
296	997	2360
297	998	2353
298	1000	2344
299	1002	2340
300	1004	2333
